x0: -4.59177            y0: -5.12674
x1: -3.66028            y1: -3.64187
x2: -2.50602            y2: -3.36294
x3: -2.19773            y3: -1.67812
x4: -1.26667            y4: -0.935236
x5: -0.0271235          y5: 0.154645
x6: 0.837741            y6: 1.01608
x7: 2.54268             y7: 2.49943
x8: 3.16285             y8: 3.26076
x9: 3.56992             y9: 4.12836
x10: -4.83699           y10: -2.57113
x11: -3.62768           y11: 3.04177
x12: -3.43321           y12: -0.990556
x13: -3.7021            y13: -3.91191
x14: 4.98925            y14: -2.81743
x15: 0.129324           y15: 3.39112
x16: 1.1264             y16: -2.03968
x17: 1.37552            y17: 0.242872
x18: -0.0641701         y18: 4.72775
x19: -2.07483           y19: 2.71358
